baralho,disciplina,card,vistas,acertos,erros,seq,quase,seq_quase,ultima,ultima_rodada
teste-2,Legislação de Trânsito,150ed3ff52,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,445f55aed6,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,294077b40d,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,f5257f15a2,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,7d4e5d0f30,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,9cdc72a596,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,706e335bb9,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,9308bc5d65,3,1,2,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,a409e31c39,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,7b4c98edb1,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,5d2a9a3bbe,3,1,2,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,f7d3384be6,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,58ab41d5f6,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,bd68068d3a,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,4da45ac6a1,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,9d7d823d69,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,a5b9ae19e7,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,3da77a01e7,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,ecb0557544,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,590e702028,1,1,0,1,0,0,2026-08-28,2026-08-28
revisao-intermediaria-02-2,Direito Constitucional,5c92980d00,8,6,2,2,0,0,2026-08-14,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,7a48d1316b,12,6,6,2,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,ce00866eae,8,6,2,5,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,2c543b08a1,10,6,4,4,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,ca5012d329,12,5,7,1,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,abf20f5c99,15,6,9,2,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,e6a19e571f,16,6,10,1,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,9001dce474,8,6,2,1,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,d1c5c28933,14,6,8,2,0,0,2026-08-12,2026-08-12
revisao-intermediaria-02-2,Direito Constitucional,51914fd078,13,6,7,3,0,0,2026-08-12,2026-08-12
aula-03,Legislação Especial,6979d16c9a,1,0,1,0,0,0,,2026-08-04
aula-03,Legislação Especial,775e04f040,1,1,0,1,0,0,,2026-08-04
aula-03,Legislação Especial,0d7e1fa6a0,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,ca7e2212e7,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,e9c184a741,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,06d94301d6,1,1,0,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,8822a94254,2,1,1,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,cefee8d6a6,4,1,3,1,0,0,,2026-08-04
aula-03,Legislação Especial,162b4bfc3c,4,1,3,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,4b9d674098,2,1,1,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,147e30ad12,4,1,3,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,4a45e9b1b1,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,e6e54839d7,2,1,1,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,cf18a516a0,4,1,3,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,4c5c50f095,4,1,3,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,bac7679061,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,bcc781edd0,2,1,1,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,5d913aee8a,2,1,1,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,49641cc009,2,1,1,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,69e0d9443f,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,8391c041c5,3,1,2,1,0,0,2026-08-04,2026-08-04
aula-03,Legislação Especial,bbdb5f3685,2,1,1,1,0,0,2026-08-04,2026-08-04
lei-das-licitacoes-14-133-2021,Direito Administrativo,826a8b84b7,3,3,0,3,0,0,2026-08-14,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,0f1005da10,4,4,0,4,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,fd8792faea,8,2,6,0,0,0,2026-09-11,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,bcc46c5d91,5,4,1,4,0,0,2026-08-15,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,c9a2c378b5,3,1,2,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,1d33c1fd25,3,3,0,3,0,0,2026-08-15,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,8bc2be4e27,3,1,2,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,6e2f7e3f01,3,1,2,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,e987a77a72,2,1,1,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,dda0213eb9,2,1,1,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,af13a624d1,4,1,3,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,19649013a0,2,2,0,2,0,0,2026-08-14,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,0c49875c59,2,1,1,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,0543887da6,4,1,3,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,581b9337c7,2,2,0,2,0,0,2026-08-14,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,924c6839e7,2,2,0,2,0,0,2026-08-14,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,fab16c268c,3,1,2,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,81c5cd656b,2,1,1,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,39753ce10e,2,1,1,1,0,0,2026-08-07,2026-08-07
lei-das-licitacoes-14-133-2021,Direito Administrativo,8ef4dfca25,7,3,4,0,0,0,2026-09-11,2026-08-07
revisao-intermediaria-02,,9001dce474,1,1,0,1,0,0,,2026-08-07
eca-lep-2,Legislação Especial,9299499c72,1,0,1,0,0,0,2026-08-07,
revisao-cumulativa-01,Direito Constitucional,28346b731c,4,1,3,0,0,0,2026-08-14,2026-08-08
revisao-cumulativa-01,Direito Constitucional,e93afc0c45,2,1,1,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,adb9218dba,6,1,5,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,e5394e9e25,5,1,4,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,c49fb3d591,2,1,1,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,e6a19e571f,3,1,2,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,942ea71dbb,1,1,0,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,f7422e1851,1,1,0,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,d8e582a4b0,2,2,0,2,0,0,2026-08-14,2026-08-08
revisao-cumulativa-01,Direito Constitucional,ac51630740,6,2,4,1,0,0,2026-08-14,2026-08-08
revisao-cumulativa-01,Direito Constitucional,c5b8ef4575,6,0,6,0,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,81eb8594f4,3,1,2,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,e37b7d9f9a,2,1,1,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,d0fb296d5d,2,1,1,1,0,0,2026-08-08,2026-08-08
revisao-cumulativa-01,Direito Constitucional,f155679f7e,2,1,1,1,0,0,2026-08-08,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,8b861057da,2,0,2,0,0,0,,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,552da106e2,1,0,1,0,0,0,,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,7f0246c6b9,7,3,4,1,0,0,2026-08-14,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,d4ca8617b9,3,3,0,3,0,0,2026-08-08,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,0a4fd51b08,5,3,2,3,0,0,2026-08-14,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,64ca82dc15,4,3,1,3,0,0,2026-08-14,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,c5a55c9f51,6,4,2,2,0,0,2026-08-16,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,138cbf4b4c,3,2,1,2,0,0,2026-08-14,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,4e4fcd243a,3,3,0,3,0,0,2026-08-15,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,9351718b92,3,3,0,3,0,0,2026-08-14,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,70379777e0,6,4,2,1,0,0,2026-08-17,2026-08-08
infracoes-gravidade-01,Legislação de Trânsito,5bdff2141a,3,3,0,3,0,0,2026-08-15,2026-08-08
infracoes-gravidade-06,Legislação de Trânsito,5e8f85ae67,7,3,4,1,1,0,2026-08-17,
infracoes-gravidade-06,Legislação de Trânsito,a7350c91d5,6,2,4,1,0,0,2026-08-16,
infracoes-gravidade-06,Legislação de Trânsito,9c7c71cd2a,6,2,4,1,0,0,2026-08-15,
infracoes-gravidade-02,Legislação de Trânsito,ad6f0a0466,2,2,0,2,0,0,2026-08-14,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,52e502410b,7,3,4,1,0,0,2026-08-15,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,8bb436a2e9,6,3,3,3,0,0,2026-08-16,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,57b5a2212b,7,3,4,1,1,0,2026-08-16,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,1bb4d503ed,6,3,3,2,0,0,2026-08-15,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,a2b2b1ae6c,4,3,1,2,0,0,2026-08-16,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,0c6e69a46b,2,2,0,2,0,0,2026-08-14,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,fa9b9ca4ee,2,2,0,2,0,0,2026-08-14,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,2b323efcab,2,2,0,2,0,0,2026-08-14,2026-08-08
infracoes-gravidade-02,Legislação de Trânsito,9e8a8820e4,3,2,1,2,0,0,2026-08-14,2026-08-08
aula-06-direito-constitucional,Direito Constitucional,7a6f191e1d,3,0,3,0,0,0,2026-08-14,
aula-06-direito-constitucional,Direito Constitucional,c04fadb029,1,0,1,0,0,0,2026-08-10,
aula-06-direito-constitucional,Direito Constitucional,1200d4061b,1,0,1,0,0,0,2026-08-10,
aula-06-direito-constitucional,Direito Constitucional,a25711daa2,1,0,1,0,0,0,2026-08-10,
aula-06-direito-constitucional,Direito Constitucional,b77f1138e6,2,0,2,0,0,0,2026-08-10,
aula-06-direito-constitucional,Direito Constitucional,6a154b000d,1,0,1,0,0,0,2026-08-10,
aula-06-direito-constitucional,Direito Constitucional,66731048e3,1,0,1,0,0,0,2026-08-10,
meta-13-revisao-direito-administrativo,Direito Administrativo,f23272ea76,1,0,1,0,0,0,,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,cfb6ab60bf,1,0,1,0,0,0,,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,ed145d5d2f,1,1,0,1,0,0,2026-08-11,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,fc37a46134,3,2,1,2,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,a52bc031af,5,2,3,1,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,3705a270c5,3,2,1,2,0,0,2026-08-15,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,460fb2415d,3,2,1,2,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,d04c5af31e,3,2,1,2,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,279dbf1482,4,2,2,2,0,0,2026-08-15,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,0f8d06deea,2,1,1,0,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,7a75f80073,5,2,3,1,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,e683e79a01,2,2,0,2,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,61c25fad42,9,3,6,0,0,0,2026-08-26,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,7f02a99108,3,1,2,0,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,125a9f0efe,4,2,2,2,0,0,2026-08-15,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,040745c376,3,2,1,2,0,0,2026-08-15,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,0057767c12,3,2,1,2,0,0,2026-08-14,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,1d2796e3c7,3,2,1,2,0,0,2026-08-15,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,2dd3197b69,5,2,3,1,0,0,2026-08-15,2026-08-11
meta-13-revisao-direito-administrativo,Direito Administrativo,e8950f29e9,2,1,1,1,0,0,2026-08-11,2026-08-11
controle-adm-top,,171346052c,4,2,2,1,0,0,2026-08-14,
revisao-ls-transito-equipamentos-e-sinistrados,,a036b64576,1,0,1,0,0,0,,
revisao-ls-transito-equipamentos-e-sinistrados,,1dd7e3b079,1,0,1,0,0,0,,
revisao-ls-transito-equipamentos-e-sinistrados,,647f51fd51,1,0,1,0,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,9e612cdc54,5,2,3,2,0,0,2026-08-14,
revisao-ls-transito-30,Legislação de Trânsito,7ad62c750f,4,2,2,2,0,0,2026-08-16,
revisao-ls-transito-30,Legislação de Trânsito,e79e8a3752,2,1,1,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,3e77545386,3,1,2,0,0,0,2026-08-14,
revisao-ls-transito-30,Legislação de Trânsito,d9bdf63a4b,5,2,3,2,0,0,2026-08-14,
revisao-ls-transito-30,Legislação de Trânsito,9626b9e469,2,1,1,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,c3b6ca0ef4,9,2,7,1,0,0,2026-08-16,
revisao-ls-transito-30,Legislação de Trânsito,88091f8d73,3,1,2,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,55f83eb66b,5,2,3,2,0,0,2026-08-17,
revisao-ls-transito-30,Legislação de Trânsito,e6071a5544,2,1,1,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,31a1609f63,5,1,4,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,7ef158e451,6,1,5,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,24f6e7e284,2,1,1,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,2e3901b611,3,3,0,3,0,0,2026-08-17,
revisao-ls-transito-30,Legislação de Trânsito,691571e14f,2,2,0,2,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,88c2370e21,3,2,1,2,0,0,2026-08-17,
revisao-ls-transito-30,Legislação de Trânsito,d1fcd7dee0,3,2,1,2,0,0,2026-08-17,
revisao-ls-transito-30,Legislação de Trânsito,b24191fae9,3,2,1,2,1,1,2026-08-17,
revisao-ls-transito-30,Legislação de Trânsito,aaf48b0aee,2,1,1,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,f8d514c26d,2,1,1,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,89e9996824,2,2,0,2,0,0,2026-08-14,
revisao-ls-transito-30,Legislação de Trânsito,377ad0554a,6,3,3,2,0,0,2026-08-16,
revisao-ls-transito-30,Legislação de Trânsito,44196c53bf,4,2,2,1,0,0,2026-08-16,
revisao-ls-transito-30,Legislação de Trânsito,7acd426b12,4,2,2,2,1,1,2026-08-16,
revisao-ls-transito-30,Legislação de Trânsito,315a576db2,5,3,2,2,0,0,2026-08-16,
revisao-ls-transito-30,Legislação de Trânsito,b9182f63b3,2,2,0,2,0,0,2026-08-14,
revisao-ls-transito-30,Legislação de Trânsito,677f8ebd96,3,2,1,2,1,1,2026-08-15,
revisao-ls-transito-30,Legislação de Trânsito,77f309017e,4,1,3,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,5b8e0a34f6,1,1,0,1,0,0,,
revisao-ls-transito-30,Legislação de Trânsito,ccf214cfc2,3,2,1,1,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,e45b3a417a,2,1,1,0,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,9fbd2cd2e3,2,2,0,2,0,0,2026-08-16,
infracoes-gravidade-09,Legislação de Trânsito,be83676419,7,3,4,1,1,0,2026-08-16,
infracoes-gravidade-09,Legislação de Trânsito,92522d1d32,2,2,0,2,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,df4e0409b4,6,3,3,2,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,bb0c7ca475,7,2,5,1,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,8911c77912,2,2,0,2,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,ac4ef01078,2,2,0,2,0,0,2026-08-17,
infracoes-gravidade-09,Legislação de Trânsito,24039b7a2d,4,2,2,1,0,0,2026-08-16,
infracoes-gravidade-09,Legislação de Trânsito,b1fde3a4b5,2,2,0,2,0,0,2026-08-16,
revisao-ls-2-meta-14,Legislação de Trânsito,e1d617ad9d,1,0,1,0,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,e419b13b74,6,2,4,1,2,1,2026-08-17,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,c765c77b0b,5,1,4,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,33fd153187,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,9eb3046cd8,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,87ce831575,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,abd31547bd,3,2,1,1,2,1,2026-08-17,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,69c12e37f5,1,1,0,1,1,1,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,1d1a4296c8,5,2,3,1,1,0,2026-08-17,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,1d1d713594,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,8455c1f5af,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,a8b7a0e438,3,1,2,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,4d02670a2d,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,11a2725b09,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,065da03047,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,2a5ce91bd6,4,1,3,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,d247698b57,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,1c1b56edd8,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,e8020b2d89,4,2,2,1,1,0,2026-08-17,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,73ee91490a,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,e83eee7515,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,ae91005445,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,5c08f22545,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,877257b8fe,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,2776e20575,4,2,2,1,1,0,2026-08-17,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,a8cd026092,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,74ef9eb306,5,1,4,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,5216ed401f,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,f08d81ec1e,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,5b62d0c02b,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,5240c520f7,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,70338599ff,4,1,3,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,e2e3880fb5,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,ea5a0e71c9,2,2,0,2,1,1,2026-08-17,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,f60d161038,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,5a77a4aa58,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,27ff4f97ee,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,c840fe2fdf,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,d300e6a8bf,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,4f0b0773fc,2,1,1,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,69ee97e002,1,1,0,1,0,0,2026-08-16,2026-08-16
revisao-ls-2-meta-14,Legislação de Trânsito,ab4d0b013f,2,1,1,1,0,0,2026-08-16,2026-08-16
